state,Gender,Year,Count
DC,M,1985,7717
DC,M,1986,7500
DC,M,1987,8010
DC,M,1988,8297
DC,M,1989,13133
DC,M,1990,9281
DC,M,1991,7898
DC,M,1992,7486
DC,M,1993,6868
DC,M,1994,6298
DC,M,1995,5529
DC,M,1996,4993
DC,M,1997,4977
DC,M,1998,4936
DC,M,1999,4688
DC,M,2000,4868
DC,M,2001,4622
DC,M,2002,4699
DC,M,2003,4641
DC,M,2004,4628
DC,M,2005,4383
DC,M,2006,4671
DC,M,2007,4561
DC,M,2008,4237
DC,M,2009,4245
DC,M,2010,3902
DC,M,2011,4044
DC,M,2012,4129
DC,M,2013,4293
DC,M,2014,4206
DC,M,2015,4372
DC,M,2016,4470
DC,M,2017,4314
DC,M,2018,3939
DC,M,2019,3716
DE,F,1961,4603
DE,F,1962,4368
DE,F,1963,4404
DE,F,1964,4294
DE,F,1965,3956
DE,F,1966,3743
DE,F,1967,3695
DE,F,1968,3593
DE,F,1969,3643
DE,F,1970,3764
DE,F,1971,3466
DE,F,1972,3067
DE,F,1973,2697
DE,F,1974,2735
DE,F,1975,2719
DE,F,1976,2582
DE,F,1977,2789
DE,F,1978,2779
DE,F,1979,2762
DE,F,1980,3052
DE,F,1981,3003
DE,F,1982,2983
DE,F,1983,2919
DE,F,1984,3034
DE,F,1985,3062
DE,F,1986,3178
DE,F,1987,3423
DE,F,1988,3501
DE,F,1989,3688
DE,F,1990,3706
DE,F,1991,3733
DE,F,1992,3568
DE,F,1993,3337
DE,F,1994,3353
DE,F,1995,3188
DE,F,1996,3164
DE,F,1997,3031
DE,F,1998,3144
DE,F,1999,3107
DE,F,2000,3038
DE,F,2001,3023
DE,F,2002,3035
DE,F,2003,3189
DE,F,2004,3079
DE,F,2005,3100
DE,F,2006,3139
DE,F,2007,2998
DE,F,2008,2887
DE,F,2009,2742
DE,F,2010,2673
DE,F,2011,2756
DE,F,2012,2656
DE,F,2013,2568
DE,F,2014,2810
DE,F,2015,2750
DE,F,2016,2615
DE,F,2017,2516
DE,F,2018,2466
DE,F,2019,2350
DE,M,1961,5227
DE,M,1962,4960
DE,M,1963,5056
DE,M,1964,4962
DE,M,1965,4558
DE,M,1966,4337
DE,M,1967,4179
DE,M,1968,4230
DE,M,1969,4367
DE,M,1970,4473
DE,M,1971,4254
DE,M,1972,3683
DE,M,1973,3367
DE,M,1974,3382
DE,M,1975,3309
DE,M,1976,3274
DE,M,1977,3401
DE,M,1978,3560
DE,M,1979,3718
DE,M,1980,3793
DE,M,1981,3801
DE,M,1982,3907
DE,M,1983,3894
DE,M,1984,3902
DE,M,1985,4026
DE,M,1986,3969
DE,M,1987,4115
DE,M,1988,4423
DE,M,1989,4696
DE,M,1990,4914
DE,M,1991,4684
DE,M,1992,4410
DE,M,1993,4228
DE,M,1994,4166
DE,M,1995,4014
DE,M,1996,3835
DE,M,1997,3918
DE,M,1998,3877
DE,M,1999,4003
DE,M,2000,4217
DE,M,2001,3884
DE,M,2002,4093
DE,M,2003,4135
DE,M,2004,4105
DE,M,2005,4062
DE,M,2006,3952
DE,M,2007,4100
DE,M,2008,3948
DE,M,2009,3773
DE,M,2010,3618
DE,M,2011,3645
DE,M,2012,3545
DE,M,2013,3519
DE,M,2014,3609
DE,M,2015,3486
DE,M,2016,3545
DE,M,2017,3428
DE,M,2018,3198
DE,M,2019,3190
FL,F,1961,50036
FL,F,1962,49212
FL,F,1963,48518
FL,F,1964,48022
FL,F,1965,44410
FL,F,1966,42881
FL,F,1967,41415
FL,F,1968,42253
FL,F,1969,44389
FL,F,1970,47623
FL,F,1971,47755
FL,F,1972,44493
FL,F,1973,42950
FL,F,1974,43699
FL,F,1975,41354
FL,F,1976,40975
FL,F,1977,43213
FL,F,1978,44032
FL,F,1979,46878
FL,F,1980,51620
FL,F,1981,54096
FL,F,1982,56709
FL,F,1983,58853
FL,F,1984,61664
FL,F,1985,65244
FL,F,1986,66438
FL,F,1987,69403
FL,F,1988,72890
FL,F,1989,77011
FL,F,1990,79099
FL,F,1991,76335
FL,F,1992,75050
FL,F,1993,74448
FL,F,1994,74511
FL,F,1995,72847
FL,F,1996,72715
FL,F,1997,73345
FL,F,1998,74265
FL,F,1999,74700
FL,F,2000,77290
FL,F,2001,77320
FL,F,2002,77005
FL,F,2003,79806
FL,F,2004,81980
FL,F,2005,85675
FL,F,2006,89075
FL,F,2007,89240
FL,F,2008,86019
FL,F,2009,82269
FL,F,2010,79517
FL,F,2011,79447
FL,F,2012,79508
FL,F,2013,81021
FL,F,2014,83594
FL,F,2015,85804
FL,F,2016,86510
FL,F,2017,85715
FL,F,2018,84768
FL,F,2019,84021
FL,M,1961,54975
FL,M,1962,54183
FL,M,1963,53499
FL,M,1964,52682
FL,M,1965,49570
FL,M,1966,47716
FL,M,1967,46569
FL,M,1968,47494
FL,M,1969,50317
FL,M,1970,53784
FL,M,1971,53839
FL,M,1972,50528
FL,M,1973,49536
FL,M,1974,50697
FL,M,1975,48030
FL,M,1976,47219
FL,M,1977,50062
FL,M,1978,51062
FL,M,1979,54792
FL,M,1980,59782
FL,M,1981,62995
FL,M,1982,66078
FL,M,1983,68134
FL,M,1984,71227
FL,M,1985,74618
FL,M,1986,76402
FL,M,1987,79494
FL,M,1988,84394
FL,M,1989,89298
FL,M,1990,91649
FL,M,1991,88992
FL,M,1992,87454
FL,M,1993,87759
FL,M,1994,85413
FL,M,1995,84873
FL,M,1996,84863
FL,M,1997,85860
FL,M,1998,86668
FL,M,1999,86823
FL,M,2000,89272
FL,M,2001,89802
FL,M,2002,89964
FL,M,2003,93443
FL,M,2004,95587
FL,M,2005,98966
FL,M,2006,103321
FL,M,2007,104117
FL,M,2008,100450
FL,M,2009,95217
FL,M,2010,92569
FL,M,2011,91935
FL,M,2012,91854
FL,M,2013,93262
FL,M,2014,95842
FL,M,2015,98148
FL,M,2016,97720
FL,M,2017,96382
FL,M,2018,95520
FL,M,2019,94110
GA,F,1961,44537
GA,F,1962,43673
GA,F,1963,43616
GA,F,1964,43875
GA,F,1965,40842
GA,F,1966,38685
GA,F,1967,36878
GA,F,1968,37654
GA,F,1969,38183
GA,F,1970,40422
GA,F,1971,38843
GA,F,1972,35975
GA,F,1973,34077
GA,F,1974,33001
GA,F,1975,30985
GA,F,1976,30887
GA,F,1977,32849
GA,F,1978,32239
GA,F,1979,33616
GA,F,1980,35291
GA,F,1981,34825
GA,F,1982,34886
GA,F,1983,35109
GA,F,1984,35690
GA,F,1985,37108
GA,F,1986,37677
GA,F,1987,39190
GA,F,1988,40110
GA,F,1989,41842
GA,F,1990,42665
GA,F,1991,41855
GA,F,1992,41292
GA,F,1993,40470
GA,F,1994,40747
GA,F,1995,40930
GA,F,1996,41506
